"Name","FullName","Length","LastWriteTime"
"Lockpicking-LLMs-A-Logit-Based-Jailbreak-Using-Token-level-Manipulation.pdf","C:\Users\speci.000\Downloads\Papers\Lockpicking-LLMs-A-Logit-Based-Jailbreak-Using-Token-level-Manipulation.pdf","1275045","05/06/2026 10:54:01 PM"
"hutson2018.pdf","C:\Users\speci.000\Downloads\Papers\hutson2018.pdf","231640","05/06/2026 10:53:38 PM"
"ray2005.pdf","C:\Users\speci.000\Downloads\Papers\ray2005.pdf","422017","05/06/2026 10:51:51 PM"
"A-survey-of-large-language-models-for-cyber-threat-detection.pdf","C:\Users\speci.000\Downloads\Papers\A-survey-of-large-language-models-for-cyber-threat-detection.pdf","3033183","05/06/2026 10:51:25 PM"
"A-hierarchical-deep-reinforcement-learning-model-with-expert-prior-knowledge-for-intelligent.pdf","C:\Users\speci.000\Downloads\Papers\A-hierarchical-deep-reinforcement-learning-model-with-expert-prior-knowledge-for-intelligent.pdf","2153533","05/06/2026 10:51:09 PM"
"Securing-LLM-agents-From-prompt-sanitization-to-autonomous-red-teaming-and-beyond.pdf","C:\Users\speci.000\Downloads\Papers\Securing-LLM-agents-From-prompt-sanitization-to-autonomous-red-teaming-and-beyond.pdf","8015820","05/06/2026 10:50:56 PM"
"A-Red-Teaming-Framework-for-Securing-AI-in-Maritime-Autonomous-Systems.pdf","C:\Users\speci.000\Downloads\Papers\A-Red-Teaming-Framework-for-Securing-AI-in-Maritime-Autonomous-Systems.pdf","8838008","05/06/2026 10:47:47 PM"
"A Systematic Security Evaluation of OpenClaw and Its Variants.pdf","C:\Users\speci.000\Downloads\Papers\A Systematic Security Evaluation of OpenClaw and Its Variants.pdf","2175617","05/06/2026 9:13:36 PM"
"nexus-os-proposal.md","C:\Users\speci.000\Downloads\Papers\nexus-os-proposal.md","10710","05/04/2026 2:36:53 AM"
"Claude Mythos Preview System Card.pdf","C:\Users\speci.000\Downloads\Papers\Claude Mythos Preview System Card.pdf","23762465","05/01/2026 9:55:57 PM"
